,filename,label,truncated,occluded,alpha,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,dim_height,dim_width,dim_length,loc_x,loc_y,loc_z,rotation_y,score
0,000000,Pedestrian,0.0,0,-0.2,712.4,143.0,810.73,307.92,1.89,0.48,1.2,1.84,1.47,8.41,0.01,
1,000001,Truck,0.0,0,-1.57,599.41,156.4,629.75,189.25,2.85,2.63,12.34,0.47,1.49,69.44,-1.56,
2,000001,Car,0.0,0,1.85,387.63,181.54,423.81,203.12,1.67,1.87,3.69,-16.53,2.39,58.49,1.57,
3,000001,Cyclist,0.0,3,-1.65,676.6,163.95,688.98,193.93,1.86,0.6,2.02,4.59,1.32,45.84,-1.55,
4,000002,Misc,0.0,0,-1.82,804.79,167.34,995.43,327.94,1.63,1.48,2.37,3.23,1.59,8.55,-1.47,
5,000002,Car,0.0,0,-1.67,657.39,190.13,700.07,223.39,1.41,1.58,4.36,3.18,2.27,34.38,-1.58,
6,000003,Car,0.0,0,1.55,614.24,181.78,727.31,284.77,1.57,1.73,4.15,1.0,1.75,13.22,1.62,
7,000004,Car,0.0,0,1.96,280.38,185.1,344.9,215.59,1.49,1.76,4.01,-15.71,2.16,38.26,1.57,
8,000004,Car,0.0,0,1.88,365.14,184.54,406.11,205.2,1.38,1.8,3.41,-15.89,2.23,51.17,1.58,
9,000005,Pedestrian,0.0,0,1.94,330.06,178.74,360.77,238.64,1.87,0.96,0.65,-8.5,2.07,23.02,1.59,
10,000006,Car,0.0,2,-1.55,548.0,171.33,572.4,194.42,1.48,1.56,3.62,-2.72,0.82,48.22,-1.62,
11,000006,Car,0.0,0,-1.21,505.25,168.37,575.44,209.18,1.67,1.64,4.32,-2.61,1.13,31.73,-1.3,
12,000006,Car,0.0,0,0.15,49.7,185.65,227.42,246.96,1.5,1.62,3.88,-12.54,1.64,19.72,-0.42,
13,000006,Car,0.0,1,2.05,328.67,170.65,397.24,204.16,1.68,1.67,4.29,-12.66,1.13,38.44,1.73,
14,000007,Car,0.0,0,-1.56,564.62,174.59,616.43,224.74,1.61,1.66,3.2,-0.69,1.69,25.01,-1.59,
